entityid,entityname,principaladdress1,principaladdress2,principalcity,principalstate,principalzipcode,principalcountry,mailingaddress1,mailingaddress2,mailingcity,mailingstate,mailingzipcode,mailingcountry,entitystatus,jurisdictonofformation,entitytypeverbatim,entitytype,agentfirstname,agentmiddlename,agentlastname,agentsuffix,agentorganizationname,agentprincipaladdress1,agentprincipaladdress2,agentprincipalcity,agentprincipalstate,agentprincipalzipcode,agentprincipalcountry,agentmailingaddress1,agentmailingaddress2,agentmailingcity,agentmailingstate,agentmailingzipcode,agentmailingcountry,entityformdate
19871079190,SHELTON MUTUAL DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,3/18/1924
19111054652,The Monitor Ditch Company,38520 Marsh Rd.,,Hotchkiss,CO,81419,US,P O Box 1552,,Paonia,CO,81428,US,Good Standing,,Nonprofit Corporation,DNC,Laura,M,Major,,,38520 Marsh Rd.,,Hotchkiss,CO,81419,US,P.O. Box 1552,,Paonia,CO,81428,US,7/24/1911
19871120426,GORE LATERAL CO.,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,7/19/1951
19871028026,LAS ANIMAS DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,03/29/1899
19871133661,"SUNRISE DITCH, INC., Dissolved June 18, 2001",,,,,,,,,,,,,Voluntarily Dissolved,,Ditch Company,DT,,,,,,,,,,,,,,,,,,8/4/1964
19871059531,BOB CREEK RESERVOIR LATERAL ASSOCIATION,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,4/20/1914
19871119780,RIO GRANDE DITCH NO. 1 COMPANY,218 CONIFER DR,,South Fork,CO,81154,US,218 CONIFER DR,,South Fork,CO,81154,US,Good Standing,,Nonprofit Corporation,DNC,,,,,Rio Grande Ditch No 1 Company,218 CONIFER DR,,SOUTH FORK,CO,81154,US,,,,,,,3/21/1951
19871119928,"CEMENT LATERAL OF PRAIRIE DITCH, INC.",,,,,,,,,,,,,Exists,,Water Company,WC,,,,,,,,,,,,,,,,,,4/13/1951
19871119976,SAN ISABEL WATER USERS' ASSOCIATION,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,4/19/1951
19871112357,CARSON LATERAL DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,3/20/1902
19871420935,"R. V. T. DITCH COMPANY, Dissolved October 1, 1997",,,,,,,,,,,,,Administratively Dissolved,,Nonprofit Corporation,DNC,,,,,,,,,,,,,,,,,,12/29/1980
19971098131,MAINLINE #307,,,,,,,,,,,,,Exists,,Ditch Company,DT,VALORIE,M.,FOX,,,659 24 1/2 RD,,GRAND JUNCTION,CO,81505,US,,,,,,,6/19/1997
19871076562,SWEDE DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,11/29/1922
19951153013,"ALPINE LAKES DITCH AND RESERVOIR COMPANY, INC.",320 Solitude Pl,,Pagosa Springs,CO,81147,US,P. O. Box 2073,,Pagosa Springs,CO,81147,US,Good Standing,,Corporation,DPC,Barbara,J,Briles,,,320 Solitude Pl,,Pagosa Springs,CO,81147,US,P.O. Box 2073,,Pagosa Springs,CO,81147,US,12/14/1995
19911043958,"THE IDAHO AND CENTRAL DITCH AND PIPELINE COMPANY, INC., Dissolved April 1, 2000",,,,,,,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,6/11/1991
19871121001,"KIGGINS AND SALISBURY DITCH, INC.",60892 ME Road,,Colbran,CO,81624,US,60892 ME Road,,Colbran,CO,81624,US,Delinquent,,Nonprofit Corporation,DNC,Jack,Clifford,Hamm,,,60892 ME Road,,Collbran,CO,81624,US,60892 ME Road,,Collbran,CO,81624,US,12/10/1951
19901073108,HIGHLINE-BUZZARD DITCH COMPANY,57286 PE RD,,Colbran,CO,81624,US,,,,,,,Noncompliant,,Nonprofit Corporation,DNC,Tony,,Koehler,,,57286 PE RD,,COLLBRAN,CO,81624,US,,,,,,,7/6/1990
19871000554,SOUTH BOULDER CANON DITCH COMPANY,,,,,,,,,,,,,Good Standing,,Nonprofit Corporation,DNC,,,,,,,,,,,,,,,,,,02/24/1871
19871574470,"W. R. BLOWER MUTUAL DITCH COMPANY, INC.",15416 N 83RD ST,,Longmont,CO,80503,US,,,,,,,Good Standing,,Nonprofit Corporation,DNC,Catharine,Anne,Davies,,,15415 N 83rd St,,Longmont,CO,80503,US,,,,,,,6/4/1984
19871121756,THE FINLEY LATERAL DITCH COMPANY,35456 WCR 19,,Windsor,CO,80550,US,,,,,,,Good Standing,,Nonprofit Corporation,DNC,,,,,Finley Lateral Ditch,35456 WCR 19,,WINDSOR,CO,80550,US,,,,,,,5/2/1952
19871001714,WELLMAN DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,06/13/1878
19871122020,BIG DTICH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,6/23/1952
19931041154,"THE J. & M. HUGHES DITCH COMPANY, A COLORADO NON-PROFITCORPORATION",201 14th Street,Suite 200,Glenwood Springs,CO,81601,US,PO Drawer 2030,,Glenwood Springs,CO,81602,US,Good Standing,,Nonprofit Corporation,DNC,Andrew,A.,Mueller,,,201 14th Street,Suite 200,Glenwood Springs,CO,81601,US,PO Drawer 2030,,Glenwood Springs,CO,81602,US,4/19/1993
19871005469,HOLY TERROR RESERVOIR AND DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,7/22/1940
19871123063,NEW SALIDA DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,1/23/1953
19871062368,LOLOFF LATERAL DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,3/13/1916
19911061031,"ROARING FORK RIVER--ROBERTSON DITCH COMPANY, Dissolved June 1, 1996",,,,,,,,,,,,,Administratively Dissolved,,Nonprofit Corporation,DNC,,,,,,,,,,,,,,,,,,8/5/1991
19871051858,FULTON SEEPAGE DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,4/25/1910
19901080395,KANNAH CREEK EXTENSION DITCH #2,940 SOUTH 10TH,,Grand Junction,CO,81501,US,,,,,,,Good Standing,,Nonprofit Corporation,DNC,EDWARD,M.,GARDNER,,,940 SOUTH 10TH,,GRAND JUNCTION,CO,81501,US,,,,,,,8/9/1990
19871060763,FRUIT RIDGE DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,3/8/1915
19871099411,RIXEY MUTUAL LATERAL DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,6/18/1935
19871104954,LONG ISLAND DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,1/29/1940
19871000646,COTTONWOOD DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,11/01/1870
19871000913,THE BOX ELDER DITCH COMPANY,730 Ash Mesa Rd,,Delta,CO,81416,US,,,,,,,Good Standing,,Nonprofit Corporation,DNC,ROSANNA,,HARRIS,,,730 Ash Mesa Rd,,Delta,CO,81416,US,,,,,,,12/25/1873
19871007471,SPRING DALE DITCH COMPANY,,,,,,,,,,,,,Good Standing,,Nonprofit Corporation,DNC,,,,,,,,,,,,,,,,,,07/19/1886
19871009381,THE FARMERS EXTENSION DITCH COMPANY,P O BOX 159,,Johnstown,CO,80534,US,,,,,,,Good Standing,,Nonprofit Corporation,DNC,Jill,,Baty,,,P O BOX 148,,JOHNSTOWN,CO,80534,US,,,,,,,03/13/1889
19871096313,HUERFANO-NEPESTA DITCH & RESERVOIR COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,3/27/1933
19871027396,PINE RIDGE DITCH COMPANY,,,,,,,,,,,,,Good Standing,,Nonprofit Corporation,DNC,Mardi,Ann,Gebhardt,,,3064 County Road 119,,Hesperus,CO,81326,US,,,,,,,11/21/1898
19871030662,LEON LAKE DITCH AND RESERVOIR COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,6/7/1900
19871037556,NO. 10 DITCH COMPANY,142 North Timberline Road,,Fort Collins,CO,80524,US,,,,,,,Good Standing,,Nonprofit Corporation,DNC,Kenneth,Lee,Barker,,,142 North Timberline Road,,Fort Collins,CO,80524,US,,,,,,,10/17/1903
19871040142,BAKER-OTT LATERAL COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,CYNTHIA,R.,GOLDSMITH,,,410 EAST RAILROAD AVE.,,FT. MORGAN,CO,80701,US,P O BOX 38,,FT. MORGAN,CO,80701,US,3/6/1905
19871040534,CONEJOS AND SAN RAFAEL DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,5/9/1905
19871044292,RUSSELL AND THATCHER DITCH AND RESERVOR COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,2/23/1907
19871045107,BOUNTIFUL LATERAL DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,6/15/1907
19871047341,WAGNER LATERAL DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,6/6/1908
19871047724,CHACE LATERAL DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,8/14/1908
19871054738,SYLVAN DITCH AND RESERVOIR COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,8/9/1911
19871060987,LOWER BEAVER CREEK DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,4/24/1915
19871067232,SELLMAN MUTUAL LATERAL DITCH COMPANY,,,,,,,,,,,,,Administratively Dissolved,,Ditch Company,DT,,,,,,,,,,,,,,,,,,4/18/1918
19871068570,"BAKER LATERAL DITCH COMPANY, Delinquent June 28, 2014",,,,,,,,,,,,,Delinquent,,Nonprofit Corporation,DNC,,,,,,,,,,,,,,,,,,1/10/1919
19871070076,GRAHAM LATERAL COMPANY (MORGAN CO),,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,9/4/1919
19871071551,MORMAN MESA DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,3/27/1920
19871074478,LOVELAND DRAIN AND DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,10/11/1921
19871077184,HARDTACK DITCH COMPANY,,,,,,,,,,,,,Exists,,Ditch Company,DT,,,,,,,,,,,,,,,,,,2/26/1923
19901082330,KING DITCH #6 MESA CREEK DITCH,"200 Grand Avenue, Suite 400",,Grand Junction,CO,81501,US,Post Office Box 40,,Grand Junction,CO,81502,US,Good Standing,,Nonprofit Corporation,DNC,David,,Scanga,,,"200 Grand Avenue, Suite 400",,Grand Junction,CO,81501,US,Post Office Box 40,,Grand Junction,CO,81502,US,8/20/1990
