DARCAMemberName,Municipality
Animas Consolidated Ditch Company,Durango
Arkansas Groundwater Users Associations,Pueblo
Baxter Ditch Association,Steamboat Springs
Bayou Ditch Association,Arvada
"Beaver Park Water, Inc.",Penrose
Bess Girl Ditch Company,Pagosa Springs
Bessemer Irrigating Ditch Company,Pueblo
Big Thompson and Platte River Ditch Company,Milliken
Boulder & Larimer City Irrigation and Manufacturing Ditch,Boulder
Bona Fide Ditch Company,Delta
Boulder and Left Hand Irrigation Company,Longmont
Boulder and Weld County Ditch Company,Longmont
Bowen Ditch Company,Nathrop
Brighton Ditch Company,Fort Lupton
Bull Creek Reservoir Company,Molina
Cañon City and Oil Creek Ditch Company,Canon City
Canon City Hydraulic and Irrigating Ditch Company,Canon City
Cañon Heights Irrigation and Reservoir Company,Canon City
Church Ditch,Arvada
Cimarron Canal and Reservoir Company,Montrose
Colorado Agricultural Ditch Co.,East Lake
Colorado Canal Company,Ordway
Colorado Water Protective and Development Association,La Junta
Consolidated Reservoir II Inc.,Aspen
Consolidated Home Supply Ditch,Berthoud
Consolidated Juchem Ditch and Reservoir Company,Arvada
Consolidated Mutual Water Company,Lakewood
D Road Mutual Irrigation Company,Grand Junction
Dave Miller Ditch Company,Lyons
DeWeese-Dye Ditch and Reservoir Company,Canon City
East Boulder Ditch Company,Boulder
Eastdale Mutual Ditch and Reservoir Company,Jaroso
Enterprise Irrigating Ditch Company,Boulder
Erie Coal Creek Ditch and Reservoir Company,Erie
Farmer’s Highline Canal and Reservoir Company,Northglenn
Farmers Independent Ditch Company,La Salle
Fire Mountain Canal and Reservoir Company,Hotchkiss
Fisher Ditch Company,Golden
Florida Consolidated Ditch Company,Durango
Foxhill Estate Ditch Company,Denver
Farmers Reservoir & Irrigation Company (FRICO),Brighton
Fruitland Irrigation Company,Hotchkiss
Fruitland Water Company,Canon City
Godfrey Ditch Company,LaSalle
Goodhue Ditch and Reservoir Company,Longmont
Grand Mesa Water Users Association,Cedaredge
Grand Valley Irrigation Company,Grand Junction
Grand Valley Water Users Association,Grand Junction
Grandview Irrigation Company,Canon City
Greeley Irrigation Company,Greeley
H.H. Ditch Company,Hesperus
Handy Ditch Company,Berthoud
Headgate 135 Lateral Inc.,Grand Junction
Highland Ditch Company,Longmont
Highland Lake Lateral Ditch Company,Longmont
Highline Buzzard Ditch Company,Colbran
Huerfano Cucharas Irrigation Co,Pueblo
Jaroso Mutual Ditch Company,Jaroso
Lake Canal Company,Lucerne
Lake McIntosh Reservoir Company,Longmont
Larimer-Weld Irrigation Company,Eaton
Lateral Ditch ML47,Clifton
Las Animas Consolidated Canal Company,Las Animas
Last Chance Ditch Company,Longmont
Lincoln Park Crooked Ditch Company,Canon City
Little Blanco Highline Ditch,Pagosa Springs
Loesch and Crann Ditch Company,Rifle
Loma Ditch & Lateral Co.,Loma
Longmont Supply Ditch Company,Longmont
Louden Irrigating Canal & Reservoir Co.,Fort Collins
Lower Clear Creek Ditch Company,East Lake
Low Line Ditch Company,Sterling
Lupton Bottom Ditch Company,Fort Lupton
Lyons Ditch Company,Lyons
Leyner-Cottonwood Consolidated Ditch Co.,Lafayette
Manhart Ditch Company,Arvada
Marshallville Ditch Company,Boulder
McGinn Ditch Company,Boulder
Minnesota Canal & Reservoir Co.,Paonia
Missouri Park Ditch Company,Poncha Springs
Nevada Ditch Holding Company,Denver
New Consolidated Lower Boulder Reservoir & Ditch Company,Boulder
New Mercer Ditch Company,Fort Collins
North Boulder Farmers Ditch Company,Boulder
North Fork Farmers Ditch Association,Paonia
North Poudre Irrigation Company,Wellington
Oligarchy Irrigation Company,Longmont
Orchard Mesa Irrigation District,Palisade
Overland Ditch and Reservoir Company,Hotchkiss
Palisade Irrigation District,Palisade
Pine River Bayfield Ditch Company,Durango
Platte Valley Irrigation Company,Greeley
Platteville Irrigating & Milling Company,Platteville
Plumb Irrigation Company,Greeley
Red Mesa Reservoir and Ditch Company,Hesperus
Redlands Mesa Water Users,Hotchkiss
Redlands Water and Power Company,Grand Junction
Rio Grande Canal Water Users Association,Monte Vista
Riverside Ditch and Allen Extension Company,Buena Vista
Riverside Irrigation District,Fort Morgan
Rogers Mesa Water Distribution Association,Hotchkiss
Rough and Ready Irrigating Ditch Company,Longmont
Rural Ditch Company,Longmont
Sanborn Reservoir and Ditch Company,Golden
Santa Maria Reservoir Company,Monte Vista
Shamrock Irrigation Company,Fort Collins
Silver Lake Ditch and Reservoir Company,Boulder
South Cañon Ditch Company,Canon City
South Side Ditch Co,Loveland
Spring Creek Extension Ditch Company,Ignacio
Stewart Ditch and Reservoir Company,Paonia
Summit Reservoir and Irrigation Company,Dolores
Supply Irrigating Ditch Company,Longmont
Tremont Mutual Ditch Company,Snyder
Thompson – Epperson Ditch Company,Bayfield
Uncompahgre Valley Water Users Association,Montrose
Union Ditch Company,Greeley
Upper Platte and Beaver Canal Company,Fort Morgan
Water-User’s of Lateral Ditch 110,Grand Junction
West Ridge Irrigation Association,Greeley
