"DitchReservoirCompanyName","OWF_ID","OWF_ID_Flag","BusinessEntity_ID","BusinessEntity_ID_Flag","DARCAMember","EntityStartDate","EntityStartDate_Flag","EntityEndDate","EntityEndDate_Flag","Ditch_WDID_CSV","Ditch_WDID_CSV_Flag","Reservoir_WDID_CSV","Reservoir_WDID_CSV_Flag","Latitude","Longitude","Lat_Long_Flag","Municipality","Municipality_Flag","IBCC_Basin","IBCC_Basin_Flag","Website","Website_Flag","Comment"
"""C"" Ditch Company",CDC,G,20101274666,G,N,2010-05-12,G,,N,,x,,x,38.743510,-107.626063,G2,Crawford,G,Gunnison,G1,,x,
1900 Road Irrigators Lateral Ditch Company,1900RdIrrigatorsLDC,G,20121549891,G,N,2012-10-01,G,,N,,x,,x,38.718231,-108.008938,G2,Delta,G,Gunnison,G1,,x,
A J I Irrigation Company,AJIIC,G,19871737026,G,N,1987-08-07,G,,N,,x,,x,39.820476,-104.975284,G2,Denver,G,Metro,G1,,x,
Abrams Lateral Ditch Company,AbramsLDC,G,19871083421,G,N,1926-03-27,G,,N,,x,,x,,,x,,x,,x,,x,
Acme Ditch Company,AcmeDC,G,19871053880,G,N,1911-03-13,G,,N,,x,,x,,,x,,x,,x,,x,
Adams-Phillips Ditch Nonprofit Corporation,AdamsPhillipsDC,G,20001135095,G,N,2000-07-11,G,,N,,x,,x,38.588744,-105.230586,G2,Canyon City,G,Arkansas,G1,,x,
Adobe Creek Canal And Reservoir Company,AdobeCrkCRC,G,19871011147,G,N,1890-09-29,G,,N,,x,,x,,,x,,x,,x,,x,
Adobe Creek Falls Irrigation Company,AdobeCrkFallsIC,G,20051261222,G,N,2005-07-08,G,,N,,x,,x,39.155251,-108.684820,G2,Fruita,G,Colorado,G1,,x,
Adobe Creek Irrigating Company,AdobeCrkIC,G,19871124013,G,N,1953-07-08,G,,N,,x,,x,,,x,,x,,x,,x,
Agitator Ditch Company,AgitatorDC,G,19871049121,G,N,1909-03-30,G,,N,,x,,x,,,x,,x,,x,,x,
Agricultural Ditch And Reservoir Company,AgDRC,G,19871485638,G,N,1982-07-22,G,,N,,x,,x,39.754825,-105.141023,G2,Lakewood,G,Metro,G1,http://agditch.com/?q=node/1,G,
Alamo Ditch Company,AlamoDC,G,19871032711,G,N,1901-05-24,G,,N,,x,,x,,,x,,x,,x,,x,
"Alexander Ditch Company, Inc.",AlexanderDC,G,19871470508,G,N,1982-04-05,G,,N,,x,,x,39.141753,-108.678951,G2,Fruita,G,Colorado,G1,,x,
Alexis Arbaney Ditch Company,AlexisArbaneyDC,G,20001102133,G,N,2000-05-19,G,,N,,x,,x,39.368658,-107.031414,G2,Basalt,G,Colorado,G1,,x,
Alfalfa Ditch Company,AlfalfaDC,G,19871006633,G,N,1884-12-01,G,,N,,x,,x,,,x,,x,,x,,x,
Alkali Ditch No. 2 Inc.,AlkaliNo2DC,G,20031035229,G,N,2003-01-31,G,,N,,x,,x,39.610000,-105.020000,G2,Littleton,G,Metro,G1,,x,
Alkali No. 1 Ditch Company,AlkaliNo1DC,G,19871119096,G,N,1950-11-27,G,,N,,x,,x,,,x,,x,,x,,x,
Allen And Reno Park Lateral Ditch Company,AllenRenoParkLDC,G,19871972530,G,N,1920-09-02,G,,N,,x,,x,,,x,,x,,x,,x,
"Allen Basin Reservoir Company, Inc.",AllenBasinRC,G,19871131752,G,N,1956-03-01,G,,N,,x,,x,40.157560,-106.908531,G2,Yampa,G,Yampa,,,x,
Allen Ditch Company,AllenDC,G,19871077877,G,N,1923-06-27,G,,N,,x,,x,,,x,,x,,x,,x,
Allen Mesa Ditch And Reservoir Company,AllenMesaDRC,G,19871046036,G,N,1907-11-29,G,,N,,x,,x,,,x,,x,,x,,x,
"Alpine Lakes Ditch And Reservoir Company, Inc.",AlpineLakesDRC,G,19951153013,G,N,1995-12-14,G,,N,,x,,x,37.096171,-106.854573,G2,Pagosa Springs,G,Southwest,G1,,x,
Amity Mutual Irrigation Company,AmityMutualIC,G,19871100491,G,N,1936-04-22,G,,N,,x,,x,38.051691,-102.122950,G2,Holly,G,Arkansas,G1,http://www.amitymutual.com/,G,
"Anaconda Ditch Co., Incorporated",AnacondaDC,G,19871584703,G,N,1984-08-23,G,2001-06-01,G,,x,,x,,,x,,x,,x,,x,
Anderson Ditch Company,AndersonDC,G,19961125049,G,N,1996-09-24,G,,N,,x,,x,40.020159,-105.275782,G2,Boulder,G,South Platte,G1,,x,
Andrews-Farwell Ditch Company,AndrewsFarwellDC,G,19871026600,G,N,1898-04-21,G,2004-09-30,G,,x,,x,40.035664,-105.162504,G2,Boulder,G,South Platte,G1,,x,
Animas Consolidated Ditch Company,AnimasConsolidatedDC,G,19871929230,G,Y,1899-11-10,G,,N,,x,,x,37.242703,-107.821944,G2,Durango,G,Southwest,G1,,x,
